original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.10568486,-86.81573677,1,58.45687294,"Trader Joe's, 3909 Hillsboro Pike, Nashville-Davidson, TN 37215, United States of America",36.1051633,-86.81565513,Trader Joe's,3909,Hillsboro Pike,37215,,Hill Center,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105693,-86.802687,5,5.090112791,"1680 Burton Avenue, Nashville-Davidson, TN 37215, United States of America",36.10564947,-86.80270454,,1680,Burton Avenue,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105836,-86.795357,1,17.00266151,"3906 Granny White Pike, Nashville, TN 37204, United States of America",36.105797,-86.795174,,3906,Granny White Pike,37204,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.105871,-86.795539,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10589,-86.75562,1,0,"Black Abbey, Sidco Drive, Nashville-Davidson, TN 37204, United States of America",36.1059331,-86.75543495,Black Abbey,,Sidco Drive,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10589,-86.75559,1,0,"Black Abbey, Sidco Drive, Nashville-Davidson, TN 37204, United States of America",36.1059331,-86.75543495,Black Abbey,,Sidco Drive,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105918,-86.79551,1,0,"Lipscomb University, Mayfair Avenue, Nashville-Davidson, TN 37204, United States of America",36.10507165,-86.79864092,Lipscomb University,,Mayfair Avenue,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.10592,-86.78866,1,13.93676059,"988 Caldwell Lane, Nashville-Davidson, TN 37204, United States of America",36.105827,-86.788556,,988,Caldwell Lane,37204,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.105979,-86.791262,1,62.94779634,"1010 A Caldwell Lane, Nashville, TN 37204, United States of America",36.106299,-86.790684,,1010 A,Caldwell Lane,37204,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.106137,-86.790679,1,18.01920259,"1010 A Caldwell Lane, Nashville, TN 37204, United States of America",36.106299,-86.790684,,1010 A,Caldwell Lane,37204,,Midtown,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,
36.1062,-86.81834,1,116.750962,"Pedal Chic, 2176 Bandywood Drive, Nashville-Davidson, TN 37215, United States of America",36.1054771,-86.8173975,Pedal Chic,2176,Bandywood Drive,37215,,Midtown,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
